marca,modelo,tipo,motor,descricao,preco,quilometragem,cambio,ano,portas,combustivel,troca,cor,vendido,data
Land Rover,Range Rover Evoque,SUV,2.0,2.0 PURE SI4 ,105900.0,101000,Automático,2013,5,Gasolina,Aceito Troca,Preto,Não,04/05/2023
Land Rover,Range Rover Evoque,SUV,2.0,2.0 PURE SI4 ,105900.0,101000,Automático,2013,5,Gasolina,Aceito Troca,Preto,Não,04/05/2023
Fiat,Toro,Pick-up Compacta,2.0,2.0 Ranch ,132900.0,73000,Automático,2019,4,Diesel,Não Aceita Troca,Marrom,Não,18/04/2023
Chevrolet,Cruze Sedan,Sedan Médio,1.8,1.8 16v CRUZE LT 1.8 16V FlexPower 4p Mec. ,51500.0,188000,Manual,2012,4,Bi-Combustível,Não Aceita Troca,Prata,Não,04/05/2023
BMW,X1,CrossOver,2.0,2.0 2.0 16 V Turbo Activeflex SDrive20I GP ,195900.0,18300,Automático,2020,4,Bi-Combustível,Aceito Troca,Cinza,Não,04/05/2023
Jeep,Compass,SUV,2.0,2.0 16v S ,189000.0,31500,Automático,2021,4,Diesel,Não Aceita Troca,Branco,Não,04/05/2023
Jeep,Renegade,Jipe,1.8,1.8 16v Limited ,95000.0,48000,Automático,2019,4,Bi-Combustível,Aceito Troca,Branco,Não,04/05/2023
Hyundai,HB20,Hatch Compacto,1.0,1.0 12v SENSE ,62900.0,18850,Manual,2020,4,Bi-Combustível,Não Aceita Troca,Branco,Não,04/05/2023
Audi,A4,Sedan Superior,2.0,2.0 16v ATTRACTION ,115000.0,87000,Automático,2017,4,Gasolina,Não Aceita Troca,Cinza,Não,04/05/2023
Ford,KA Hatch,Hatch Compacto,1.0,1.0 12v SE/SE Plus TiVCT ,29900.0,80000,Manual,2019,5,Bi-Combustível,Aceito Troca,Cinza,Sim,04/05/2023
Toyota,Corolla,Sedan Médio,2.0,2.0 XEI ,85500.0,71000,Automático,2015,4,Bi-Combustível,Não Aceita Troca,Preto,Sim,04/05/2023
Ford,Focus Hatch,Hatch Médio,2.0,2.0 Titanium ,43500.0,123715,Manual,2011,5,Bi-Combustível,Não Aceita Troca,Prata,Não,04/05/2023
Fiat,Toro,Pick-up Compacta,1.3,1.3 16v FREEDOM TURBO 270 AT6 ,137900.0,22500,Automático,2021,4,Bi-Combustível,Não Aceita Troca,Preto,Não,04/05/2023
Ford,EcoSport,CrossOver,1.6,1.6 8v Freestyle 131cv Flex Automático ,66250.0,81000,Automático,2016,4,Bi-Combustível,Aceito Troca,Prata,Não,04/05/2023
Volkswagen,Tiguan,CrossOver,2.0,2.0 R-Line ,178900.0,73000,Automático,2018,4,Gasolina,Aceito Troca,Cinza,Não,04/05/2023
Jeep,Compass,SUV,2.0,2.0 LONGITUDE FLEX ,109000.0,33100,Automático,2017,5,Bi-Combustível,Não Aceita Troca,Branco,Sim,04/05/2023
Nissan,Frontier,Pick-up Grande,2.5,2.5 16v SV ,115000.0,143000,Manual,2013,4,Diesel,Aceito Troca,Branco,Não,04/05/2023
Chevrolet,Onix Sedan,Sedan Compacto,1.0,1.0 16v LT ,82900.0,57000,Automático,2020,4,Bi-Combustível,Aceito Troca,Prata,Não,03/05/2023
Volkswagen,Saveiro Cab Dupla,CrossOver Light,1.6,1.6 CROSS ,111900.0,5000,Manual,2022,2,Bi-Combustível,Não Aceita Troca,Vermelho,Não,03/05/2023
Ford,KA Sedan,Sedan Compacto,1.5,1.5 8v SE Plus ,42000.0,102000,Manual,2015,4,Bi-Combustível,Não Aceita Troca,Prata,Não,03/05/2023
Toyota,Corolla,Sedan Médio,2.0,2.0 16v ALTIS 2.0 Flex Automático ,144952.0,33990,Automático,2020,4,Bi-Combustível,Não Aceita Troca,Prata,Sim,03/05/2023
Volkswagen,Gol,Hatch Compacto,1.0,1.0 12v 12V MPI - 2021- 29.500KMS ,53900.0,29500,Manual,2020,4,Bi-Combustível,Aceito Troca,Branco,Não,03/05/2023
BMW,320i,Sedan Superior,2.0,2.0 ACTIVE FLEX ,98900.0,89000,Automático,2015,4,Bi-Combustível,Aceito Troca,Preto,Não,03/05/2023
Dodge,Journey,SUV,3.6,3.6 SXT V6 ,54900.0,115000,Automático,2012,5,Gasolina,Aceito Troca,Vermelho,Não,03/05/2023
Volkswagen,Gol,Hatch Compacto,1.0,1.0 ,16500.0,189720,Manual,2004,2,Gasolina,Não Aceita Troca,Prata,Não,03/05/2023
Peugeot,3008,SUV,1.6,1.6 GRIFE ,129900.0,73000,Automático,2019,4,Gasolina,Aceito Troca,Marrom,Não,03/05/2023
Peugeot,2008,SUV,1.6,1.6 ALLURE 1.6 Flex 16V 5p Aut. ,61000.0,81500,Automático,2017,5,Bi-Combustível,Não Aceita Troca,Preto,Não,03/05/2023
Chevrolet,S 10 Cab. Dupla,Pick-up Grande,2.8,2.8 16v 2.8 16v CTDI LTZ 4X4 DIESEL (AUT.) ,168000.0,108000,Automático,2017,4,Diesel,Aceito Troca,Preto,Não,03/05/2023
Volkswagen,Up!,Hatch Compacto,1.0,1.0 Speed tsi ,61500.0,56022,Manual,2016,4,Bi-Combustível,Aceito Troca,Branco,Não,04/05/2023
Fiat,Cronos,Sedan Compacto,1.8,1.8 16v DRIVE AUTOMATICO 1.8 ,71900.0,42000,Automático,2019,4,Bi-Combustível,Aceito Troca,Prata,Não,04/05/2023
Chevrolet,Tracker,CrossOver,1.0,1.0 LTZ Turbo ,118500.0,8300,Automático,2021,5,Bi-Combustível,Aceito Troca,Prata,Não,04/05/2023
Volkswagen,Up!,Hatch Compacto,1.0,1.0 8v Xtreme ,68000.0,30000,Manual,2019,4,Bi-Combustível,Não Aceita Troca,Branco,Não,04/05/2023
Jeep,Renegade,Jipe,1.8,1.8 16v Sport ,64900.0,96000,Manual,2015,4,Bi-Combustível,Não Aceita Troca,Vermelho,Não,04/05/2023
Citroen,C4 Cactus,SUV,1.6,1.6 16v FEEL ,77900.0,80000,Automático,2019,4,Bi-Combustível,Aceito Troca,Prata,Sim,04/05/2023
Honda,Civic,Sedan Médio,2.0,2.0 Ex ,129000.0,14000,Automático,2021,4,Bi-Combustível,Não Aceita Troca,Branco,Não,04/05/2023
Jeep,Compass,SUV,2.0,2.0 16v LONGITUDE 2.0 4x4 Dies. 16V Aut. ,149239.0,63500,Automático,2017,5,Diesel,Não Aceita Troca,Branco,Não,04/05/2023
Volkswagen,Amarok,Pick-up Grande,2.0,2.0 16v HIGHLINE ,100000.0,123000,Automático,2013,4,Diesel,Aceito Troca,Branco,Não,04/05/2023
